FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
0,4435152.0,100.8088771059999,2.272952022974633e-05,4.722200427169976e-06,1528.0,1.0944998105999997,3.546408487251304e-06,0.034437845399999986,1.4785053694849586e-06,0.0004651100290614626,928.0,0.020825075599999993,2.2440814224137924e-05,1.8506441218055768e-06,600.0,0.013612769799999997,2.268794966666666e-05,4.824012808163163e-07,0.0,0.0,-0.01,-0.01
1,1886014.0,43.363707982,2.2992251373531693e-05,5.295990594259527e-06,4585.0,1.0779491533999996,3.6639763709591446e-06,0.10381248709999998,1.2196235397223909e-06,0.0004580767919820899,2896.0,0.06544226359999998,2.2597466712707175e-05,1.3453937439837156e-06,1679.0,0.038141989899999985,2.2717087492555084e-05,9.637394632894598e-07,10.0,0.00022823359999999996,2.2823359999999996e-05,5.581800000000002e-07
2,1871743.0,42.28184133529999,2.2589554941730776e-05,5.678821892145399e-06,4320.0,1.0824356802,3.813666339246462e-06,0.09783158839999997,1.4129858541200642e-06,0.0004599833511154252,2722.0,0.06160198519999998,2.2631148126377657e-05,1.7499453816663457e-06,1591.0,0.03607114209999999,2.267199377749842e-05,4.252591578159684e-07,7.0,0.00015846109999999997,2.2637299999999994e-05,3.3881317890172014e-21
3,2016765.0,47.633305877499986,2.361866944215116e-05,5.2882197045332165e-06,4309.0,0.5834271015999999,3.2897942686331425e-06,0.09742504729999998,1.5102583538940284e-06,0.0002479285912636785,2684.0,0.06046949999999998,2.2529619970193734e-05,1.6551170288618905e-06,1620.0,0.03684236079999999,2.274219802469135e-05,1.2247635956605496e-06,5.0,0.00011318649999999999,2.2637299999999998e-05,0.0
4,1518845.0,35.21654216149999,2.3186396348211956e-05,5.711730451310052e-06,4326.0,1.0951051257999997,3.713409886000989e-06,0.09694346199999998,2.0861008398552005e-06,0.0004653672590468283,2652.0,0.05887000419999998,2.219834245852186e-05,2.427686308022117e-06,1664.0,0.037847084799999986,2.2744642307692298e-05,1.3179384919253713e-06,10.0,0.00022637299999999996,2.2637299999999994e-05,3.3881317890172014e-21
5,1590828.0,36.2903747374,2.2812255465330003e-05,6.039335096237616e-06,4301.0,1.2242971271999998,3.883907171440801e-06,0.09716518349999997,1.7110737789648016e-06,0.0005202676756058064,2603.0,0.05850377609999998,2.2475519054936606e-05,1.8417163341222225e-06,1694.0,0.03857085819999999,2.2769101652892557e-05,1.4728421084287702e-06,4.0,9.054919999999999e-05,2.2637299999999998e-05,0.0
6,1562704.0,36.74291917239998,2.3512398491588923e-05,5.8306171871775605e-06,4218.0,1.0815999606999998,3.3957913867112295e-06,0.09512193459999997,1.755207630105894e-06,0.00045962821033132653,2576.0,0.05777100979999998,2.2426634239130428e-05,1.9517727869481016e-06,1627.0,0.03701136529999999,2.2748226982175775e-05,1.375507965650586e-06,15.0,0.0003395594999999999,2.2637299999999994e-05,3.3881317890172014e-21
7,1739990.0,40.2968586748,2.315924728004184e-05,6.1701801341516095e-06,4437.0,1.0536630516999999,3.638058687618586e-06,0.10067427509999997,1.5588101400008953e-06,0.00044775636126288837,2826.0,0.06396060579999999,2.2632910757254064e-05,1.5447551828874606e-06,1602.0,0.03650993359999999,2.2790220724094875e-05,1.5826179829108117e-06,9.0,0.00020373569999999997,2.2637299999999998e-05,0.0
10,17053132.0,335.7261858258001,1.968706896925445e-05,6.116379671410649e-06,0.0,1.0833483044999999,3.5024863750389383e-06,0.0,-0.01,0.0004603711727583202,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
11,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
12,1338065.0,31.8613637349,2.3811521663671048e-05,7.921763368168959e-06,0.0,1.4874910910999997,3.824737803265311e-06,0.0,-0.01,0.0006321125119527615,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
13,5716615.0,127.96849285710006,2.238536141704489e-05,8.244912995784642e-06,0.0,1.1784445007999995,3.426713032679932e-06,0.0,-0.01,0.0005007825042143582,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
14,1558828.0,38.08926297679999,2.443455145583733e-05,8.626559997181283e-06,0.0,1.2138743560999996,3.7745310806605223e-06,0.0,-0.01,0.0005158384967952914,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
15,1608572.0,39.1112824942,2.4314287762189072e-05,8.82378957154165e-06,0.0,1.2366034456999997,3.814849025222683e-06,0.0,-0.01,0.0005254972719015214,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
16,2005813.0,49.15991143210003,2.45087211181202e-05,8.99442275286766e-06,0.0,1.0635626840999997,3.586499486115702e-06,0.0,-0.01,0.0004519632311669933,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
17,1187450.0,29.560656480599985,2.4894232582929796e-05,8.932443061270008e-06,0.0,0.9902218633999997,3.514417285993927e-06,0.0,-0.01,0.0004207968929759719,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
20,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
21,3540602.0,79.4611434609999,2.244283414543626e-05,5.329155237896607e-06,4403.0,1.1539403987999999,3.7326288459857553e-06,0.09971482569999998,1.2611412138611832e-06,0.0004903694338026812,2732.0,0.061786804799999984,2.261596076134699e-05,1.5169831771331012e-06,1663.0,0.03774692249999999,2.269808929645219e-05,6.529066139196221e-07,8.0,0.00018109839999999998,2.2637299999999998e-05,0.0
22,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
