FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
0,715813.0,15.847340786899998,2.2138939620962455e-05,3.1023853081249507e-06,53118.0,4.9117904976,2.9640479020585302e-06,1.2035719037999995,1.9124353904363583e-06,0.0012468712458729584,35169.0,0.7943791386999998,2.2587481551934937e-05,2.0379031127766524e-06,17904.0,0.4081740865999999,2.279792708891867e-05,1.6320732269889509e-06,45.0,0.0010186785,2.26373e-05,3.3881317890172014e-21
1,442448.0,9.630151778799998,2.176561263425306e-05,3.5035970532610314e-06,63927.0,3.6555264017999978,3.2854776448899436e-06,1.4522686926999997,1.7805954816636761e-06,0.0009279652218800807,42412.0,0.9620188885999996,2.2682705097613875e-05,1.8867951141803623e-06,21457.0,0.4889368406999999,2.2786822048748654e-05,1.5498501401028268e-06,58.0,0.0013129633999999996,2.2637299999999994e-05,3.3881317890172014e-21
2,425215.0,9.0721432641,2.1335426229319283e-05,3.7624966076876998e-06,60774.0,3.4173075817999994,3.6016140153156694e-06,1.3812455593999995,1.905926965918989e-06,0.0008674927328704379,40390.0,0.9161358723999997,2.268224492201039e-05,1.943613906769706e-06,20329.0,0.4638584334999998,2.2817572605637255e-05,1.8278119971090423e-06,55.0,0.0012512534999999992,2.2750063636363622e-05,6.268278906493138e-07
3,360921.0,8.072777792099997,2.236716010456581e-05,3.075777597147129e-06,61007.0,2.6486605410999986,2.7915762033697738e-06,1.3846340220999995,2.0145051332485477e-06,0.0006723696115275247,40937.0,0.9268178870999997,2.264010277011016e-05,2.137777863794761e-06,20006.0,0.4564126223999998,2.2813786983904818e-05,1.7774530144934665e-06,66.0,0.0015052253999999995,2.2806445454545448e-05,9.62902858340628e-07
4,409985.0,8.841063566299999,2.1564358613851724e-05,3.668311646721432e-06,60303.0,3.3312191702999994,3.4575142535967147e-06,1.3597478768999995,2.2294958465206377e-06,0.0008456389577644601,40505.0,0.9079265950999997,2.241517331440562e-05,2.391406059349371e-06,19748.0,0.4506751521999999,2.28213060664371e-05,1.8240976449534033e-06,50.0,0.0011461295999999998,2.2922591999999998e-05,1.9970440000000005e-06
5,429730.0,9.054331430200001,2.106981460498453e-05,3.951242296310516e-06,59373.0,3.472087677099999,3.7704072353781117e-06,1.3480496644999995,2.036002187910186e-06,0.0008813988075918912,39666.0,0.8983652817999997,2.2648244889830074e-05,2.153835527727317e-06,19654.0,0.4484684805999998,2.281817851836775e-05,1.7692780283572405e-06,53.0,0.0012159020999999994,2.2941549056603764e-05,1.9524274616653873e-06
6,390868.0,8.576416473799995,2.1941976508181776e-05,3.4207692414895834e-06,58629.0,3.261444499599999,3.170132450388073e-06,1.3271005488999998,2.151233557251156e-06,0.000827926469695477,38654.0,0.8716365223999998,2.254971082940963e-05,2.3519506556961356e-06,19925.0,0.4543265796999998,2.2801835869510655e-05,1.685951150904688e-06,50.0,0.0011374467999999997,2.2748935999999993e-05,7.814520000000002e-07
7,407906.0,8.877154554799997,2.1762745717885977e-05,3.607910175182404e-06,62874.0,3.3162810331,3.328715807282182e-06,1.4307517839999995,2.0258085100346334e-06,0.0008418468714059957,42314.0,0.9613354281999996,2.2719086548187352e-05,2.100465338505059e-06,20513.0,0.4683455804999998,2.2831647272461356e-05,1.8622959229459126e-06,47.0,0.0010707752999999996,2.2782453191489354e-05,7.147661200138142e-07
10,1105536.0,24.470867342599995,2.2134844403619596e-05,3.409537451208507e-06,17074.0,6.245383920299997,2.812991813439892e-06,0.38652972679999986,1.9210597461194244e-06,0.001585407527756808,11487.0,0.2591626638999999,2.2561387995124916e-05,2.0576616785289843e-06,5569.0,0.12695959149999997,2.27975563835518e-05,1.5949207893468628e-06,18.0,0.00040747139999999994,2.2637299999999998e-05,0.0
11,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
12,543334.0,11.669901510399999,2.1478319984392654e-05,4.029622163870826e-06,62737.0,4.215579405799998,3.5881564179422386e-06,1.4262525430999995,1.8947936604156492e-06,0.0010701361852372482,41882.0,0.9505116977999997,2.2694993023255808e-05,1.9515544147398e-06,20793.0,0.4743088034999998,2.2810984634251903e-05,1.7694797429207739e-06,62.0,0.0014320417999999992,2.3097448387096762e-05,2.6381979091149876e-06
13,854508.0,19.05710247,2.2301842077546377e-05,3.714908213864252e-06,60220.0,4.618910660699999,2.943627750420792e-06,1.3679819621999996,1.7942369578891769e-06,0.0011725229105143944,39877.0,0.9044354892999997,2.2680630170273585e-05,1.907513005702082e-06,20293.0,0.4624146078999998,2.278690227664711e-05,1.5478142876275966e-06,50.0,0.0011318649999999997,2.2637299999999994e-05,3.3881317890172014e-21
14,522301.0,11.405334423699998,2.1836707997304232e-05,4.031655212506772e-06,61085.0,3.7730924440999987,3.473805168376275e-06,1.3876947090999996,1.9234652512812485e-06,0.0009578096783377781,40882.0,0.9266860945999996,2.266733757154737e-05,1.9809729968194257e-06,20138.0,0.4595371899999998,2.2819405601350672e-05,1.8000885579271883e-06,65.0,0.0014714244999999996,2.2637299999999994e-05,3.3881317890172014e-21
15,522934.0,11.329187198000001,2.1664659781157854e-05,4.1677121934864625e-06,59711.0,3.7256003189999984,3.6025957516529696e-06,1.3561308704999995,2.0562402434087873e-06,0.0009457536744789967,39851.0,0.9024111564999997,2.2644630159845416e-05,2.1128090096632415e-06,19799.0,0.45233883869999986,2.2846549760088887e-05,1.9337025050639593e-06,61.0,0.0013808752999999994,2.263729999999999e-05,6.776263578034403e-21
16,546573.0,12.124871857699992,2.2183444585993072e-05,3.9034076336207166e-06,61307.0,3.6738480400999984,3.221136370080963e-06,1.3950645456999993,1.9690514485789445e-06,0.000932616219104966,41238.0,0.9372065471999997,2.27267701440419e-05,2.0484616176951463e-06,20019.0,0.4567162102999998,2.281413708476946e-05,1.794348273055331e-06,50.0,0.0011417881999999998,2.2835763999999994e-05,1.3892480000000005e-06
17,427445.0,9.453654952700001,2.2116658172864347e-05,3.879640835551617e-06,55938.0,3.2082344405999987,3.216340049084786e-06,1.2726138081999996,1.977106284282405e-06,0.0008144189529170798,37190.0,0.8448587671999999,2.2717364001075554e-05,2.0465036401313446e-06,18685.0,0.42632889109999983,2.2816638538934967e-05,1.8329648773095084e-06,63.0,0.0014261498999999993,2.2637299999999987e-05,1.0164395367051604e-20
20,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
21,517512.0,11.209272768399998,2.1659928211133264e-05,3.4031072522675312e-06,62837.0,3.7949216234999987,3.27504314215638e-06,1.4259281784999993,1.6401176330885964e-06,0.0009633510743171387,42111.0,0.9541811110999997,2.265871413882358e-05,1.7194110158408683e-06,20678.0,0.4706592365999998,2.27613519972918e-05,1.465123481257755e-06,48.0,0.0010878308,2.2663141666666665e-05,1.77161540965364e-07
22,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
23,507540.0,11.105012806999996,2.1880074096622918e-05,3.2837033359112384e-06,65261.0,3.7166964176999993,3.1336332111342363e-06,1.4778717890999995,1.720590796621323e-06,0.0009434933951546883,43416.0,0.9807718759999997,2.2590102174313612e-05,1.8429421681974987e-06,21794.0,0.49593920879999986,2.2755768046251254e-05,1.4417912444658875e-06,51.0,0.0011607042999999997,2.275890784313725e-05,8.598973052782292e-07
24,538203.0,11.793250297499991,2.191227157317962e-05,3.3080362184372297e-06,59752.0,3.742725901599999,3.173103716099325e-06,1.3526388343999995,1.7899939823103505e-06,0.0009501010497433115,39680.0,0.8956239977999997,2.2571169299395152e-05,1.938259680827516e-06,20015.0,0.45570218329999984,2.2768033140144884e-05,1.4375874533717381e-06,57.0,0.0013126532999999997,2.302900526315789e-05,2.9312537826659357e-06
25,482412.0,10.509468857999993,2.178525587671947e-05,3.4765403915857014e-06,62279.0,3.424514305799999,3.286282194729004e-06,1.4108740638999995,1.7505468082279215e-06,0.0008693221791664337,42060.0,0.9506599255999997,2.2602470889205888e-05,1.9037595640042692e-06,20163.0,0.45894644949999985,2.2761813693398794e-05,1.3739866474306886e-06,56.0,0.0012676887999999997,2.2637299999999994e-05,3.3881317890172014e-21
26,502426.0,10.8588132534,2.161276138854279e-05,3.6315193505358474e-06,57940.0,3.5804911946999995,3.405455791704835e-06,1.3154665271999995,1.8035295538090345e-06,0.0009089173324786852,38734.0,0.8779768269999996,2.2666825708679703e-05,1.9201300371742225e-06,19136.0,0.43589764679999987,2.2778932211538456e-05,1.541516096863357e-06,70.0,0.0015920533999999992,2.2743619999999988e-05,5.444396106089272e-07
27,477465.0,10.223971881899995,2.141302897992522e-05,3.7286448163279827e-06,60704.0,3.658970682499999,3.5270638924658465e-06,1.3772986065999995,1.7424496389701033e-06,0.0009288395618116484,40212.0,0.9106415205999996,2.2646014140057685e-05,1.8726861534593565e-06,20426.0,0.4651425575999998,2.277208252227552e-05,1.445024301441878e-06,66.0,0.0015145283999999995,2.2947399999999993e-05,2.500106127747382e-06
30,492557.0,10.825118097499997,2.19773916470581e-05,3.8486276172107515e-06,58822.0,3.5307043295999985,3.3286038023199068e-06,1.3368652877999996,1.889184500535721e-06,0.0008962788026908859,39395.0,0.8933661596999998,2.267714582307399e-05,1.943893746528111e-06,19364.0,0.4420729781999998,2.2829631181574046e-05,1.7715476800603929e-06,63.0,0.0014261498999999993,2.2637299999999987e-05,1.0164395367051604e-20
31,519603.0,11.465742523900001,2.2066351664443817e-05,3.961501769646421e-06,62324.0,3.5804707280999994,3.368880315603407e-06,1.4164499719999992,2.063415227013117e-06,0.0009089121369771561,41795.0,0.9473793776999997,2.2667289812178482e-05,2.1367853441650823e-06,20460.0,0.46750551959999986,2.2849732140762456e-05,1.902612143003665e-06,69.0,0.0015650746999999994,2.26822420289855e-05,2.654244423755583e-07
32,773604.0,17.203867965199997,2.223859748036463e-05,4.074355900741123e-06,60339.0,4.4151876747999985,3.274205012248407e-06,1.3668987828999994,2.0718423356106025e-06,0.0011208072818925689,40168.0,0.9064892815999996,2.2567448755228035e-05,2.1909959883175244e-06,20109.0,0.45900598869999987,2.282589828932318e-05,1.8018461874719039e-06,62.0,0.0014035125999999993,2.263729999999999e-05,6.776263578034403e-21
33,565068.0,12.4489700818,2.203092385659779e-05,3.990910955304196e-06,62633.0,4.421725203,3.284300272435299e-06,1.4234461380999994,1.9291367824828614e-06,0.0011224668510325085,41495.0,0.9415594208999996,2.2690912661766468e-05,2.071573836531804e-06,21078.0,0.48052847919999986,2.279763161590283e-05,1.6133067110315788e-06,61.0,0.0013808752999999994,2.263729999999999e-05,6.776263578034403e-21
34,1346239.0,29.582557913299983,2.1974224423226473e-05,4.374598816471136e-06,0.0,5.595325941799998,2.972384694063789e-06,0.0,,0.0014203885592283263,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
35,485605.0,10.6907641715,2.2015350277488904e-05,4.32152399069498e-06,62024.0,3.6233169349999987,3.45937294447156e-06,1.4090888181999994,2.0819324006604982e-06,0.000919788761988837,41502.0,0.9406337723999996,2.266478175509613e-05,2.1872290463352473e-06,20455.0,0.4669383466999999,2.282758967000733e-05,1.8489986837824018e-06,67.0,0.0015166990999999994,2.263729999999999e-05,6.776263578034403e-21
36,511747.0,11.283634438299996,2.2049243939485716e-05,4.3937498190820465e-06,56204.0,3.646832438199999,3.4824084078412113e-06,1.2788505393999994,2.1598957267079597e-06,0.0009257582358063054,37274.0,0.8467069631999996,2.271575262113e-05,2.2681923784123143e-06,18886.0,0.43114567439999985,2.2828850704225345e-05,1.928960210651998e-06,44.0,0.0009979018,2.2679586363636364e-05,2.7729022996173423e-07
