FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
0,499301.0,11.396201978699995,2.2824312346059783e-05,3.4715868821079823e-06,1259.0,0.37765001329999986,3.090969941741202e-06,0.028262824099999993,1.8881051768943492e-06,0.0004366222091548606,732.0,0.016263504599999996,2.221790245901639e-05,2.210669989593681e-06,474.0,0.010782797199999996,2.274851729957805e-05,1.2331027597031992e-06,53.0,0.0012165222999999995,2.2953250943396215e-05,1.3395466250236749e-06
1,387694.0,8.7717354396,2.2625409316626e-05,3.8058995454501622e-06,1372.0,0.3302273505999999,3.479502139370734e-06,0.03093867699999999,1.4256707329138116e-06,0.0003817942281595802,850.0,0.019081693399999995,2.2449051058823525e-05,1.6272824198731727e-06,492.0,0.011177864599999997,2.2719236991869912e-05,1.0229260039744866e-06,30.0,0.0006791190000000002,2.2637300000000004e-05,6.776263578034403e-21
2,426111.0,9.411256840299997,2.208639730093801e-05,4.2532548569455185e-06,1400.0,0.38393201909999997,3.872030061000123e-06,0.03151112159999999,1.5785188447604924e-06,0.00044388518586271734,865.0,0.019371016699999993,2.2394238959537565e-05,1.7463327052644844e-06,480.0,0.010888851399999996,2.2685107083333327e-05,1.294194810374322e-06,55.0,0.0012512534999999994,2.2750063636363625e-05,5.558686857240612e-07
3,454387.0,10.392882111499993,2.2872313933937355e-05,3.7416517319981386e-06,1456.0,0.32106296529999995,3.3276490590538598e-06,0.03275462259999999,1.3823973224330552e-06,0.00037119877201152577,896.0,0.020059128599999997,2.2387420312499995e-05,1.7309779866342612e-06,518.0,0.011739145599999995,2.2662443243243233e-05,3.1087565519816257e-07,42.0,0.0009563484,2.27702e-05,6.839055368494496e-07
4,493301.0,11.149615420299995,2.2602053148686086e-05,4.083465262071032e-06,1380.0,0.36007354529999996,3.7523761004745832e-06,0.030557253999999992,2.031691894057076e-06,0.00041630107578526283,835.0,0.018196357899999994,2.179204538922155e-05,2.463381522287402e-06,487.0,0.011044831699999995,2.2679325872689927e-05,8.592474224372754e-07,58.0,0.0013160643999999997,2.2690765517241375e-05,4.0365580316852776e-07
5,316367.0,7.036655546899997,2.2242065534331954e-05,4.450363885506473e-06,1356.0,0.3358249657,3.8092720483509015e-06,0.03055167219999999,1.7996051626025648e-06,0.0003882659426700709,822.0,0.018449709599999996,2.2444902189781016e-05,2.2866417560967287e-06,480.0,0.010878307999999996,2.2663141666666658e-05,3.995024717452392e-07,54.0,0.0012236545999999996,2.2660270370370362e-05,1.6722682049376984e-07
6,306851.0,6.987578500699997,2.277189417893374e-05,4.072767060274798e-06,1351.0,0.27736987529999996,3.5268361906192104e-06,0.03035041729999999,1.8610521598190873e-06,0.0003206827576894308,804.0,0.017895870999999994,2.225854601990049e-05,2.1053772136750853e-06,497.0,0.011322681299999996,2.2782054929577457e-05,1.4393675724681602e-06,50.0,0.0011318649999999997,2.2637299999999994e-05,3.3881317890172014e-21
7,300565.0,6.776457459099998,2.2545730404737735e-05,4.314595604123835e-06,1444.0,0.27739468329999994,3.7380564917267594e-06,0.032593990799999986,1.9500755399531434e-06,0.00032071143959962076,908.0,0.020439311199999997,2.2510254625550658e-05,2.4377274505808908e-06,484.0,0.010974438999999996,2.2674460743801642e-05,4.097511510835851e-07,52.0,0.0011802405999999997,2.269693461538461e-05,3.0431188384275956e-07
10,180.0,0.003829114799999999,2.1272859999999995e-05,3.575590311567836e-06,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
11,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
