FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
0,435686.0,9.726239984999998,2.2323967226396987e-05,2.8293412599493016e-06,246757.0,6.5874319727999975,2.775777823634549e-06,5.624533950699998,2.3559781856885475e-06,0.0014818261029733767,185320.0,4.217075948399998,2.2755644012518876e-05,2.4096113407981115e-06,61379.0,1.4061227116999995,2.2908856639893113e-05,2.1814001208571245e-06,58.0,0.0013352905999999996,2.3022251724137924e-05,2.9063217828133977e-06
1,503468.0,11.231488952599996,2.2308247897780984e-05,2.8672069589142906e-06,287139.0,7.581587764799998,2.7922746302998717e-06,6.556207073499999,2.295100068690435e-06,0.0017054589251551595,217025.0,4.951091021099998,2.2813459376108733e-05,2.3481927094504898e-06,70040.0,1.6034297285999994,2.2893057233009702e-05,2.121938784804923e-06,74.0,0.0016863237999999994,2.278815945945945e-05,1.288943786638201e-06
2,508922.0,11.178831491799997,2.1965706909506755e-05,3.2224575893263362e-06,275005.0,7.486156970599997,3.113016588270907e-06,6.277600829499998,2.3196347812404532e-06,0.0016839920102091012,208186.0,4.746804273399998,2.2800785227632972e-05,2.343466552991428e-06,66759.0,1.5294054474999996,2.290935225962042e-05,2.2392031790743473e-06,60.0,0.0013911085999999994,2.3185143333333323e-05,4.208064490331499e-06
3,476357.0,10.682782817699998,2.242600154442991e-05,2.818885429849969e-06,275591.0,7.211271616499998,2.7903568983064452e-06,6.284213401899995,2.4810025259935533e-06,0.0016221572474802617,208193.0,4.739412419699997,2.2764513791049637e-05,2.5268455525252533e-06,67335.0,1.5433307980999993,2.2920187095863952e-05,2.327382386886777e-06,63.0,0.0014701840999999994,2.3336255555555546e-05,4.138344977594334e-06
4,512828.0,11.197026919399997,2.183388371812771e-05,3.388064765280169e-06,276298.0,7.489595049299999,3.2977508641010185e-06,6.259398889799999,2.6817037621055e-06,0.0016847653972866111,208007.0,4.694925473699998,2.2570997484219272e-05,2.8027127368876193e-06,68236.0,1.5631905323999993,2.2908589782519482e-05,2.2533843010069215e-06,55.0,0.0012828836999999992,2.3325158181818167e-05,3.580738206606459e-06
5,508826.0,11.13922738039999,2.1892016878854444e-05,3.3826095721869952e-06,270240.0,7.445596510799999,3.292173155478934e-06,6.1686363409999965,2.5208165977499927e-06,0.0016748680377220361,204071.0,4.652139736299999,2.279667241450279e-05,2.5687432880734686e-06,66093.0,1.5147569436999992,2.291856843689951e-05,2.365374214062567e-06,76.0,0.0017396609999999993,2.2890276315789466e-05,1.4585899286521129e-06
6,475063.0,10.584006664699995,2.2279164373356785e-05,3.0748480364991992e-06,270245.0,7.137838696099998,3.0306542677863793e-06,6.152832714699998,2.654826698630189e-06,0.0016056386984135557,204110.0,4.6355044217999986,2.271081486355396e-05,2.7239795808542896e-06,66066.0,1.5157167031999994,2.2942462131807578e-05,2.4182677835085695e-06,69.0,0.0016115896999999994,2.335637246376811e-05,4.079409533427072e-06
7,500697.0,11.193300447699995,2.2355437415642585e-05,3.039764732951817e-06,287814.0,7.570331134799996,2.971586248739825e-06,6.579825219799997,2.5485568992725494e-06,0.001702926774806679,218259.0,4.983239088099999,2.283176908214552e-05,2.554116929719176e-06,69487.0,1.5949996600999996,2.2953928937786917e-05,2.527026944724531e-06,68.0,0.0015864715999999994,2.3330464705882345e-05,3.913146903173091e-06
10,492242.0,10.861280408999997,2.2064920118559565e-05,2.985496242518462e-06,274208.0,7.373833168799999,2.9177576935182995e-06,6.231924029799998,2.287393981125421e-06,0.0016587250560789171,207622.0,4.707794933799998,2.26748366444789e-05,2.334957352356712e-06,66529.0,1.5228325678999992,2.288975586435989e-05,2.1248500792662513e-06,57.0,0.0012965280999999997,2.2746107017543856e-05,8.14237161851649e-07
11,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
