FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
0,315989.0,7.167337268699999,2.268223662437616e-05,3.5251651817023084e-06,200280.0,5.338248700399999,3.514119295146054e-06,4.620300218799998,3.2112194494021683e-06,0.0032430162783085303,142099.0,3.2727994312999984,2.3031825919253467e-05,3.256736573640306e-06,58179.0,1.3475119510999993,2.3161483543890394e-05,3.1040617817201184e-06,3.0,6.791189999999999e-05,2.2637299999999998e-05,0.0
1,360231.0,8.181579478099996,2.2712036104888243e-05,3.5643102752761243e-06,234302.0,6.1267585763999985,3.5258736581510488e-06,5.413489503799998,3.2046479016590037e-06,0.003722040487743252,167321.0,3.8625593950999986,2.3084725737355135e-05,3.2402275367056926e-06,66979.0,1.5508848340999994,2.3154792309529846e-05,3.1134755004311537e-06,2.0,4.5274599999999995e-05,2.2637299999999998e-05,0.0
2,354701.0,7.978656240099997,2.249403367935246e-05,3.838162199462617e-06,225043.0,5.967213676899998,3.7988168630548312e-06,5.201266056699997,3.300155154706394e-06,0.0036251160589205874,159979.0,3.6924410158999983,2.3080785702498443e-05,3.300928876108659e-06,65061.0,1.5087571288999995,2.318988532146754e-05,3.2970434725618243e-06,3.0,6.791189999999999e-05,2.2637299999999998e-05,0.0
3,329303.0,7.540995364699996,2.289986840296018e-05,3.5234356400378663e-06,228173.0,5.634790818299996,3.5042266434330693e-06,5.270381144699998,3.3917623371845976e-06,0.00342316729215727,163358.0,3.7671183675999993,2.3060507398474513e-05,3.4212929729592336e-06,64814.0,1.5032401397999993,2.3193139442095833e-05,3.3142933157394388e-06,1.0,2.2637299999999998e-05,2.2637299999999998e-05,0.0
4,350090.0,7.918761975599998,2.2619217845696816e-05,3.923110632702011e-06,225826.0,5.914389072199999,3.8922269383232505e-06,5.1972511919999995,3.6200477039174125e-06,0.0035930248127925314,161699.0,3.7086673084999995,2.2935623031063887e-05,3.6859870970514204e-06,64124.0,1.4885159715999996,2.321308670076726e-05,3.440261956872213e-06,3.0,6.791189999999999e-05,2.2637299999999998e-05,0.0
5,353718.0,7.958264374199995,2.2498895657557703e-05,4.03018025807478e-06,220348.0,5.913282325299998,4.004756270184621e-06,5.098032836399998,3.5582716700136654e-06,0.0035923524577910868,157654.0,3.6434845985999984,2.3110638477932678e-05,3.6118285254942144e-06,62691.0,1.4544542774999993,2.3200368115040425e-05,3.4176054067438046e-06,3.0,9.39603e-05,3.13201e-05,1.2279333519373112e-05
6,339520.0,7.739070809399999,2.2794152949458056e-05,3.8856058089192455e-06,217530.0,5.744578932399998,3.881372334507362e-06,5.024438663999997,3.69276573947198e-06,0.0034898641924280315,154740.0,3.568671112999999,2.3062369865580966e-05,3.809675042003686e-06,62791.0,1.4557827458999995,2.3184576546001808e-05,3.3860249133135635e-06,0.0,0.0,-0.01,-0.01
7,361459.0,8.236901318099996,2.278792703487808e-05,3.980580264436153e-06,235285.0,6.1660767756,3.934688932941914e-06,5.4545365105,3.6628581544362446e-06,0.0037459265161386367,169013.0,3.9129835156999997,2.3151967693017696e-05,3.655668892069751e-06,66267.0,1.5414398082999992,2.3261047101875734e-05,3.680104058753621e-06,5.0,0.00011318649999999999,2.2637299999999998e-05,0.0
10,342919.0,7.772098009899996,2.266453013656285e-05,3.2779515784158937e-06,224763.0,5.8157909166,3.261483029233362e-06,5.1632229886999985,3.0008252157788953e-06,0.0035331258756002583,161465.0,3.7009439578999985,2.2921029064503133e-05,3.0258809966289315e-06,63294.0,1.4621884815999995,2.310153381995133e-05,2.9320456712731353e-06,4.0,9.054919999999999e-05,2.2637299999999998e-05,0.0
11,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,-0.01,-0.01
