FPM NO,ALL CTS,ALL DT,ALL AVG DT,ALL STD DT,GTI GOOD CTS,GTI DT,GTI DT STD,GTI GOOD CTS DT,GTI GOOD CTS STD,LC FRAC DT,LOWE CTS,LOWE DT,LOWE AVG DT,LOWE DT STD,MEDE CTS,MEDE DT,MEDE AVG DT,MEDE DT STD,HIGHE CTS,HIGHE DT,HIGHE AVG DT,HIGHE DT STD
0,818638.0,18.4159266858,2.2495812173146127e-05,2.871780715131851e-06,517749.0,13.482518497000003,2.8477212075112545e-06,11.829641772899992,2.5222924983356996e-06,0.0017728967998372695,386776.0,8.823337319999995,2.2812525389372647e-05,2.5642999638896634e-06,130885.0,3.0043036876999984,2.29537661894029e-05,2.3915519961696895e-06,88.0,0.0020007651999999995,2.2735968181818176e-05,7.473249955592302e-07
1,946143.0,21.27355555429999,2.2484503456982708e-05,2.916327494476475e-06,606759.0,15.648098435899987,2.8743893299728158e-06,13.884570899500002,2.4923042941976394e-06,0.0020576618268106695,454757.0,10.394887218099996,2.2858113713697635e-05,2.5171148992759417e-06,151906.0,3.487536548999998,2.295851743183283e-05,2.4169281281344754e-06,97.0,0.002199539299999999,2.267566288659793e-05,2.6439794956844406e-07
2,938433.0,20.86514579169999,2.2234028206275773e-05,3.217575948903011e-06,577223.0,15.268584411499992,3.1685689168775087e-06,13.212158122099998,2.555862878962081e-06,0.00200775726339384,433091.0,9.902302671099996,2.2864254096944975e-05,2.5855046184619693e-06,144022.0,3.307349222799998,2.2964194517504255e-05,2.4636771890290125e-06,110.0,0.002506228199999999,2.2783892727272716e-05,1.590966636282888e-06
3,903103.0,20.37753834969999,2.256391391646356e-05,2.8959493906170486e-06,583284.0,14.930295081099993,2.872559297977012e-06,13.327480280799998,2.6311733028329153e-06,0.0019632735809558223,436998.0,9.9685775532,2.2811494682355523e-05,2.6774094907263438e-06,146188.0,3.356649540999999,2.2961183824937744e-05,2.4844303889051635e-06,98.0,0.0022531865999999992,2.2991699999999992e-05,2.6756613238599553e-06
4,944848.0,20.89580506859999,2.2115520240927632e-05,3.414546815592444e-06,580907.0,15.295541404499996,3.3765598597964072e-06,13.205948059499997,2.8898302731760383e-06,0.00201130199924075,434572.0,9.842999457199996,2.264987034875693e-05,2.9722863648322217e-06,146237.0,3.3607065792999986,2.298123306208414e-05,2.6146091316282847e-06,98.0,0.0022420229999999992,2.2877785714285705e-05,1.7034088003836575e-06
5,937176.0,20.781727961399994,2.2174840116904397e-05,3.401179239240556e-06,568874.0,15.197993867699997,3.352282753631514e-06,13.020323129799998,2.7435934803704883e-06,0.0019984748916151824,427494.0,9.771003540199995,2.28564694246001e-05,2.779935484572977e-06,141290.0,3.247245020599999,2.2982836864604708e-05,2.6279393094415897e-06,90.0,0.002074568999999999,2.305076666666666e-05,3.2332458851404704e-06
6,889157.0,19.962555087299993,2.245110265937286e-05,3.1376643840338453e-06,567214.0,14.633116327899995,3.0895798138511097e-06,12.944287850199991,2.7907430585876947e-06,0.0019241957735977133,424669.0,9.670156849500001,2.277104485964363e-05,2.8587538780700867e-06,142434.0,3.271613918999999,2.296933259614979e-05,2.572787279643642e-06,111.0,0.002517081699999999,2.26764117117117e-05,2.395419257398593e-07
7,941395.0,21.21510418509999,2.2535815661969726e-05,3.1171917732086125e-06,607372.0,15.6157019788,3.075477162548264e-06,13.917040540199997,2.7504345468373638e-06,0.002053401823375005,458479.0,10.493969749899994,2.288865956761377e-05,2.7735747110555775e-06,148798.0,3.420877452999999,2.299007683571015e-05,2.676642791037252e-06,95.0,0.0021933372999999993,2.308776105263157e-05,2.3934833422306784e-06
10,927799.0,20.6430478303,2.224948273311353e-05,2.9699428828856874e-06,577828.0,15.130692244500004,2.933370238394405e-06,13.161240012199999,2.4069682031684854e-06,0.0019896249996293734,434486.0,9.876806559199999,2.2732162967736587e-05,2.4637391783115796e-06,143245.0,3.2822128268999986,2.2913280232468838e-05,2.220748011249587e-06,97.0,0.002220626099999999,2.2893052577319576e-05,1.8440142143990452e-06
11,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
12,973058.0,21.61596766419998,2.221446991258484e-05,3.056396549141462e-06,601228.0,15.846580421699992,2.9886107512975714e-06,13.733737329199998,2.3398891237071923e-06,0.0020837614073547996,450773.0,10.285458509899994,2.28173792793712e-05,2.3633392850041996e-06,150356.0,3.4460098175999985,2.2919004347016405e-05,2.2661843885707834e-06,99.0,0.002269001699999999,2.2919209090909082e-05,2.668342309340454e-06
13,916276.0,20.59613125079999,2.247808657085855e-05,2.8243771972568604e-06,574227.0,15.074509566899993,2.7879936961997408e-06,13.123324395299992,2.411426084074244e-06,0.0019822372041410517,429419.0,9.803804987899998,2.2830394062442504e-05,2.4479009115004274e-06,144719.0,3.3174674756999987,2.2923510221187257e-05,2.2982837926326927e-06,89.0,0.0020519316999999993,2.3055412359550554e-05,2.552540855292453e-06
14,959960.0,21.2656731224,2.215266586357765e-05,3.172250914127053e-06,585455.0,15.560235322099993,3.1295102502210743e-06,13.375272582699987,2.4553011693660355e-06,0.0020461081817469222,439443.0,10.026187621099998,2.2815672615333497e-05,2.4718537988274753e-06,145907.0,3.346693160299999,2.2937166553352474e-05,2.403245507860573e-06,105.0,0.002391801299999999,2.277905999999999e-05,8.613208188977365e-07
15,942183.0,20.836568836299996,2.211520356056095e-05,3.2819108751956583e-06,574656.0,15.280801111099992,3.2348517252154414e-06,13.120542488199995,2.57868044933828e-06,0.0020093637101144756,429994.0,9.801481408599997,2.279446087294241e-05,2.6227337666629966e-06,144561.0,3.316759207299999,2.2943665354417853e-05,2.440305984760129e-06,101.0,0.002301872299999999,2.279081485148514e-05,1.1426125968205928e-06
16,919110.0,20.644661280599998,2.24615783536247e-05,2.956251903919204e-06,587099.0,15.165078303200001,2.9161714022131346e-06,13.431135237099994,2.5213416993247144e-06,0.0019941466276502664,440508.0,10.068583562799994,2.2856755297974144e-05,2.5434719952365865e-06,146494.0,3.3603285673999994,2.2938335818531813e-05,2.4530298326391023e-06,97.0,0.0022231068999999993,2.291862783505154e-05,1.7291928989567737e-06
17,839522.0,18.9125940094,2.2527812266265804e-05,2.9244206563084173e-06,534879.0,13.878763656799995,2.9033634336689547e-06,12.239695065499992,2.592296526587772e-06,0.0018250014400731963,400496.0,9.156102529000002,2.2861907557129163e-05,2.6326811410527404e-06,134291.0,3.0814832362999987,2.2946312383555106e-05,2.4667263275144386e-06,92.0,0.002109300199999999,2.292717608695651e-05,2.7652416290117347e-06
20,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
21,963251.0,21.347916293899996,2.216236089440862e-05,2.9216565792840335e-06,596016.0,15.693203721299996,2.856907910711944e-06,13.592368320999999,2.130172170254989e-06,0.002063592989905993,449358.0,10.237379055399996,2.2782233887902287e-05,2.1525731516572955e-06,146570.0,3.3529457065999986,2.2876070864433366e-05,2.057394083081921e-06,88.0,0.0020435589999999995,2.3222261363636356e-05,3.319344872774796e-06
22,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
23,982486.0,21.93545625179999,2.2326482262139094e-05,2.784677626501576e-06,625992.0,16.137650825100003,2.744453259234989e-06,14.25511528139999,2.256128424917792e-06,0.002122035991352593,470037.0,10.687358033099997,2.2737269689620173e-05,2.303883536883719e-06,155846.0,3.5652457483999984,2.2876722844346332e-05,2.1017968889125942e-06,109.0,0.002511499899999999,2.3041283486238524e-05,2.5885268173482327e-06
24,902887.0,20.112204385699993,2.2275439103342936e-05,2.8934732107122886e-06,565582.0,14.731742702599998,2.869215426319884e-06,12.872831507199997,2.382663694000395e-06,0.0019371647440555764,422412.0,9.593616416999993,2.271151486463451e-05,2.4248425902088688e-06,143040.0,3.2762064999999985,2.290412821588366e-05,2.2461803529322966e-06,130.0,0.0030085901999999994,2.3143001538461533e-05,3.359122973931981e-06
25,975287.0,21.54309819549999,2.208898323826729e-05,3.1139402312634136e-06,598011.0,15.80208696359999,3.050702532642413e-06,13.626145343299992,2.331327544366185e-06,0.0020779106970815866,449983.0,10.236936542699993,2.274960730227585e-05,2.368735460962665e-06,147918.0,3.386707533999999,2.2895844549006874e-05,2.2108402361909965e-06,110.0,0.002501266599999999,2.2738787272727266e-05,6.922805676772038e-07
26,894449.0,19.90825967829999,2.225756826638522e-05,3.0021054357560484e-06,554838.0,14.599558236199998,2.960547804348728e-06,12.668912848199996,2.3779776196749215e-06,0.0019197830198976677,415461.0,9.475920752899999,2.2808207636577195e-05,2.4053497941670557e-06,139285.0,3.1909032616999986,2.2909166541264304e-05,2.29348101415224e-06,92.0,0.0020888335999999993,2.2704713043478254e-05,6.430794486073805e-07
27,961522.0,21.25171304059999,2.2102159951202354e-05,3.180860405775956e-06,583413.0,15.543316576199992,3.114394008292376e-06,13.312284450499998,2.3868863505026025e-06,0.0020438834349038124,440598.0,10.041279877999994,2.2790116791270032e-05,2.4314576209976845e-06,142722.0,3.2688993035999983,2.290396227351073e-05,2.2423518578113967e-06,93.0,0.002105268899999999,2.263729999999999e-05,6.776263578034403e-21
30,904222.0,20.119647095799994,2.225078254654277e-05,3.1400394849754415e-06,559697.0,14.802306267699997,3.0825096936590535e-06,12.799476421899994,2.479983016835239e-06,0.0019464435682440048,418435.0,9.558235557499994,2.284282040818764e-05,2.5204772171943687e-06,141135.0,3.238341119299998,2.2944989685761846e-05,2.3550167652441404e-06,127.0,0.0028997450999999987,2.2832638582677156e-05,1.3338207048787882e-06
31,941166.0,21.024529439199988,2.2338811048422902e-05,3.0998448498023104e-06,594068.0,15.479226658699995,3.0571103709992927e-06,13.573190496599999,2.581519664147913e-06,0.0020354558692629522,444488.0,10.138586156999992,2.2809583514065603e-05,2.622433207402075e-06,149467.0,3.432040742899999,2.296186277171549e-05,2.4532901288477293e-06,113.0,0.002563596699999999,2.268669646017698e-05,3.8825045103751334e-07
